No,Name,Bulge,Outskirts,RA_NED,DEC_NED,Morphology,deVac Morphology,V_r [km/s],d [Mpc],E(B-V),PA [Degree],logd25,logr25
01,UGC595,liny,lineless,14.395483,-1.391089,E / Radio galaxy LEG,S?,13500,200.19,0.030467450861187400,125.0,0.94,0.03
03,MCG-01-38-015,liny,lineless,225.161852,-3.858342,-,-,6860,100.35,0.132342882807116000,-999,-999,-999
04,2MASXJ14103977-0241003,liny,lineless,212.665615,-2.683514,-3,-,8190,120.23,0.055913283338825000,-999,-999,-999
06,IC4296,liny,lineless,204.162625,-33.965833,E / RLG / BrClG LINER,E,3781,53.05,0.054751037927519300,-999,-999,-999
07,ESO541-13,liny,lineless,15.673833,-21.882083,cD / E+3 pec,cD3 pec,17073,251.88,0.015951856887118800,-999,-999,-999
09,NGC0410,liny,lineless,17.745435,33.151892,E+: / LINER HII,cD:,5276,78.99,0.050388714330235000,-999,-999,-999
12,NGC4936,liny,liny,196.070386,-30.526258,E0 poss. LINER,E0,3093,43.76,0.071257518311632600,-999,-999,-999
13,PGC015524,liny,liny,68.407682,-13.261935,cD / E+?,cD?	,9835,143.55,0.116464763591649000,-999,-999,-999
14,2MASXJ02500784-0016014,liny,lineless,42.532724,-0.26697,-,-,8722,128.69,0.050377973487469700,-999,-999,-999
15,2MASXJ03384056+0958119,liny,liny,54.668973,9.969896,S3 / cD Sy2,-,10458,152.92,0.352192466786635000,-999,-999,-999
16,MCG+03-22-020,liny,lineless,129.599366,17.631331,-,S0?,8214,119.73,0.026546876983228000,-999,-999,-999
17,2MASXJ01372378-0018422,lineless,lineless,24.349083,-0.311722,-,-,16798,248.51,0.020538627430641900,-999,-999,-999
18,ESO107-4,lineless,lineless,315.873417,-67.181333,-,E1:,3139,44.51,0.035783162964714500,-999,-999,-999
19,NGC6805,liny,lineless,294.190458,-37.554361,-,E1,5960,88.07,0.156888573652858000,-999,-999,-999
20,IC1391,liny,lineless,323.751657,-0.511436,-,-5,9041,135.59,0.032853551803822600,-999,-999,-999
21,UGC09799,sAGN,wAGN-liny,229.185372,7.021626,-999,-999,10352,-999,0.032092170311294200,-999,-999,-999
22,NGC5419,lineless,lineless,210.911384,-33.978259,-999,-999,4156,-999,0.062447087875706300,-999,-999,-999
23,3C076.1,liny,lineless,45.812598,16.438628,-999,-999,9724,-999,0.117423016420827000,-999,-999,-999
24,3C264,wAGN,lineless,176.270871,19.606317,E,E,6474,94.74,0.020185264066297300,155.1,1.04,0.00
28,M84,lineless,lineless,186.265597,12.886983,-999,-999,999,-999,0.034995743492517400,-999,-999,-999
30,MCG-06-08-024,SF,SF,52.784417,-36.290139,-999,-999,1817,-999,0.010352340411485200,-999,-999,-999
31,NGC1419,lineless,lineless,55.175458,-37.510833,-999,-999,2133,-999,0.011169876432152000,-999,-999,-999
32,MCG-05-47-003,lineless,lineless,297.996103,-30.816223,-999,-999,5861,-999,0.120307915980633000,-999,-999,-999
33,NGC7173,liny,liny,330.513292,-31.973694,-999,-999,2497,-999,0.022873128823106300,-999,-999,-999
37,NGC4325,wAGN,liny,185.777838,10.621191,-999,-999,7641,-999,0.029488822301741000,-999,-999,-999
38,NGC1587,liny,liny,67.666411,0.661583,-999,-999,3672,-999,0.061679940258681500,-999,-999,-999
40,NGC5328,liny,lineless,208.222138,-28.489402,-999,-999,4701,-999,0.053729146031275000,-999,-999,-999
41,NGC677,liny,liny,27.308576,13.055348,-999,-999,5143,-999,0.076258732262263300,-999,-999,-999
42,PGC003342,lineless,lineless,14.067146,-1.25537,-999,-999,13344,-999,0.033242496501617800,-999,-999,-999
43,PGC004500,lineless,lineless,18.739958,0.430808,-999,-999,13437,-999,0.023794385833129000,-999,-999,-999
44,PGC047590,liny (?),lineless,203.013208,-31.780167,-999,-999,13098,-999,0.047803321756852000,-999,-999,-999
45,PGC007748,lineless,lineless,30.572007,-1.127838,-999,-999,12755,-999,0.023436141813264700,-999,-999,-999
46,PGC018236,lineless,lineless,90.1712,-40.044544,-999,-999,13973,-999,0.044230583606155400,-999,-999,-999
47,PGC047154,lineless,lineless,201.873407,-31.390255,-999,-999,14293,-999,0.049854550986890900,-999,-999,-999
48,ESO364-18,liny,lineless,89.302208,-37.477306,-999,-999,13259,-999,0.033234281010193100,-999,-999,-999
49,NGC3546,lineless,lineless,167.444959,-13.380862,-999,-999,4449,-999,0.045624237704097000,-999,-999,-999
50,IC4374,liny,liny,211.874009,-27.017859,-999,-999,6518,-999,0.051912600202747800,-999,-999,-999

51,NGC1407,?,?,55.049417,-18.580111,-999,-999,1791,-999,0.058792017139492500,-999,-999,-999
